Temperature (Â°C),Pressure (hPa),Humidity (%)
25.5,1014.0,48.7
27.2,1005.0,71.8
26.0,1015.0,52.7
25.4,1019.0,40.8
24.2,1005.0,31.5
26.5,1012.0,34.0
24.4,1012.0,70.8
28.9,1011.0,57.2
29.6,1004.0,62.2
23.8,1019.0,83.8
27.9,1009.0,89.4
25.3,1017.0,43.0
25.7,1014.0,69.8
29.3,1006.0,45.8
20.7,1016.0,31.2
20.9,1008.0,75.5
20.2,1018.0,49.2
28.3,1012.0,53.0
27.8,1018.0,65.3
28.7,1014.0,79.9
29.8,1015.0,67.7
28.0,1010.0,82.4
24.6,1019.0,46.4
27.8,1013.0,77.9
21.2,1008.0,41.1
26.4,1012.0,87.2
21.4,1000.0,71.2
29.4,1006.0,42.9
25.2,1013.0,86.8
24.1,1006.0,73.9
22.6,1012.0,45.2
27.7,1009.0,42.8
24.6,1003.0,61.1
25.7,1006.0,31.5
20.2,1011.0,42.4
26.2,1012.0,55.5
26.1,1011.0,52.5
26.2,1013.0,57.8
29.4,1013.0,46.7
26.8,1009.0,65.2
23.6,1018.0,81.8
24.4,1007.0,37.1
27.0,1009.0,61.0
20.6,1018.0,37.9
26.7,1016.0,73.0
26.7,1014.0,53.8
22.1,1002.0,63.9
21.3,1018.0,41.0
23.2,1014.0,38.7
23.6,1020.0,59.3
25.7,1003.0,51.3
24.4,1017.0,86.4
29.9,1003.0,75.9
21.0,1012.0,74.9
22.1,1002.0,84.2
21.6,1017.0,35.0
26.5,1016.0,63.1
22.5,1011.0,65.1
24.7,1008.0,87.7
22.4,1001.0,47.5
21.6,1014.0,44.4
21.1,1009.0,36.0
26.6,1014.0,31.0
21.4,1017.0,85.8
22.0,1020.0,70.2
23.7,1017.0,77.1
28.2,1000.0,46.9
21.0,1007.0,65.2
28.4,1015.0,33.8
21.0,1003.0,59.1
29.8,1010.0,88.6
24.7,1001.0,82.6
29.8,1004.0,50.3
26.0,1000.0,87.7
27.4,1016.0,43.9
20.4,1004.0,87.0
22.8,1007.0,86.5
21.2,1019.0,78.0
23.0,1014.0,67.8
21.2,1001.0,82.5
23.2,1003.0,47.6
24.1,1012.0,80.9
20.6,1012.0,67.1
26.9,1005.0,30.8
25.7,1019.0,50.8
22.7,1012.0,38.9
25.2,1011.0,88.9
20.9,1012.0,58.7
25.8,1015.0,59.8
29.3,1006.0,68.4
23.2,1008.0,52.1
26.7,1004.0,38.2
21.3,1004.0,79.3
27.2,1019.0,41.4
22.9,1015.0,60.7
21.8,1010.0,43.5
25.9,1005.0,35.9
20.2,1005.0,81.7
28.3,1001.0,88.4
20.0,1009.0,87.7
